"Product Family","Status","Documents","Volume Pricing","Memory Type","Program Memory KBytes","Program Memory KWords","Self-write","EEPROM Data Memory","RAM","I/O Pins","Pin count","Max. CPU Speed MHz"," Internal Oscillator","# of A/D Ch.","Cap Touch Channels","Digital Communication","Timers","Temperature Range","Operation Voltage Range","Packages"
PIC16F1823 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en544838","$0.78","Flash","3.5","2","Yes","256","128","12","14","32","32 MHz, 32 kHz","8","8"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN"
PIC16F1824 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en546901","$0.84","Flash","7","4","Yes","256","256","12","14","32","32 MHz, 32 kHz","8","8"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN"
PIC16F1825 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en546902","$0.92","Flash","14","8","Yes","256","1024","12","14","32","32 MHz, 32 kHz","8","12"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN"
PIC16F1826 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en538964","$0.97","Flash","3.5","2","Yes","256","256","16","18","32","32 MHz, 32 kHz","12","12"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN,28/UQFN"
PIC16F1827 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en538963","$1.04","Flash","7","4","Yes","256","384","16","18","32","32 MHz, 32 kHz","12","12"," 1 -A/E/USART  , 2 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN,28/UQFN"
PIC16F1828 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en546918","$0.99","Flash","7","4","Yes","256","256","18","20","32","32 MHz, 32 kHz","12","12"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F1829 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en546919","$1.06","Flash","14","8","Yes","256","1024","18","20","32","32 MHz, 32 kHz","12","12"," 1 -A/E/USART  , 2 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F1847 ,"Future Product","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en549760","Call for pricing","Flash","14","8","Yes","256","1024","16","18","32","32 MHz, 32 kHz","12","12"," 1 -A/E/USART  , 2 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V","Please call for package information"
PIC16F1933 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en538159","$1.23","Flash","7","4","Yes","256","256","25","28","32","32 MHz, 32 kHz","11","8"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16F1936 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en538158","$1.30","Flash","14","8","Yes","256","512","25","28","32","32 MHz, 32 kHz","11","8"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16F1937 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en538149","$1.53","Flash","14","8","Yes","256","512","36","40","32","32 MHz, 32 kHz","14","16"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 40/PDIP,40/UQFN,44/QFN,44/TQFP"
PIC16F1938 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en538157","$1.37","Flash","28","16","Yes","256","1024","25","28","32","32 MHz, 32 kHz","11","8"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16F1939 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en538148","$1.61","Flash","28","16","Yes","256","1024","36","40","32","32 MHz, 32 kHz","14","16"," 1 -A/E/USART  , 1 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 40/PDIP,40/UQFN,44/QFN,44/TQFP"
PIC16F1946 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en538147","$1.75","Flash","14","8","Yes","256","512","53","64","32","32 MHz, 32 kHz","17","17"," 2 -A/E/USART  , 2 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 64/QFN,64/TQFP"
PIC16F1947 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en538146","$1.82","Flash","28","16","Yes","256","1024","53","64","32","32 MHz, 32 kHz","17","17"," 2 -A/E/USART  , 2 -MSSP(SPI/I2C)  "," 4 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 64/QFN,64/TQFP"
PIC16F505 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en020096","$0.48","Flash","1.5","1","No","0","72","12","14","20","4 MHz","0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 0 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN"
PIC16F506 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en023671","$0.52","Flash","1.5","1","No","0","67","12","14","20","4 MHz, 8 MHz","3",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -SSP(SPI/I2C)  "," 1 - 8-bit , 0 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN,20/PDIP"
PIC16F526 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en530189","$0.55","Flash","1.5","1","No","64","67","12","14","20","4 MHz, 8 MHz","3",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -SSP(SPI/I2C)  "," 1 - 8-bit , 0 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN"
PIC16F54 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010205","$0.39","Flash","0.75","0.5","No","0","25","12","18","20",,"0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 0 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil"
PIC16F57 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010206","$0.52","Flash","3","2","No","0","72","20","28","20",,"0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 0 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 28/PDIP,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F59 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en021222","$0.85","Flash","3","2","No","0","134","32","40","20",,"0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 0 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 40/PDIP 600mil,44/TQFP"
PIC16F610 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en028257","$0.59","Flash","1.75","1","No","0","64","12","14","20","4 MHz, 8 MHz","0","4"," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 15V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN"
PIC16F616 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en026028","$0.69","Flash","3.5","2","No","0","128","12","14","20","4 MHz, 8 MHz","8","4"," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 150"," 2V - 15V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN,28/SPDIP,80/LQFP"
PIC16F627A ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010208","$1.30","Flash","1.75","1","No","128","224","16","18","20","4 MHz","0",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN"
PIC16F628A ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010210","$1.47","Flash","3.5","2","No","128","224","16","18","20","4 MHz","0",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN"
PIC16F630 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010211","$0.91","Flash","1.75","1","No","128","64","12","14","20","4 MHz","0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN"
PIC16F631 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en026027","$0.91","Flash","1.75","1","No","128","64","18","20","20","8 MHz, 32 kHz","0","4"," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -SSP(SPI/I2C)  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F636 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en019833","$0.92","Flash","3.5","2","No","256","128","12","14","20","8 MHz, 32 kHz","0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN,20/PDIP"
PIC16F639 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en022266","$2.27","Flash","3.5","2","No","256","128","12","20","20","8 MHz, 32 kHz","0",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 20/SSOP 208mil"
PIC16F648A ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010212","$1.67","Flash","7","4","No","256","256","16","18","20","4 MHz","0",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN,28/SPDIP"
PIC16F676 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010213","$0.98","Flash","1.75","1","No","128","64","12","14","20","4 MHz","8",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN"
PIC16F677 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en026026","$0.99","Flash","3.5","2","No","256","128","18","20","20","8 MHz, 32 kHz","12","4"," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F684 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010214","$0.98","Flash","3.5","2","No","256","128","12","14","20","8 MHz, 32 kHz","8",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN,20/PDIP"
PIC16F685 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en023115","$1.13","Flash","7","4","No","256","256","18","20","20","8 MHz, 32 kHz","12","4"," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F687 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en023114","$1.07","Flash","3.5","2","No","256","128","18","20","20","8 MHz, 32 kHz","12","4"," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F688 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010215","$1.04","Flash","7","4","No","256","256","12","14","20","8 MHz, 32 kHz","8",," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 14/PDIP,14/SOIC 150mil,14/TSSOP,16/QFN,20/PDIP"
PIC16F689 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en023113","$1.13","Flash","7","4","No","256","256","18","20","20","8 MHz, 32 kHz","12","4"," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 1 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F690 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en023112","$1.20","Flash","7","4","No","256","256","18","20","20","8 MHz, 32 kHz","12","4"," 0 -UART  , 1 -A/E/USART  , 0 -SPI  , 0 -I2C  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil,44/TQFP,80/LQFP"
PIC16F707 ,"Samples Available","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en548149","$1.68","Flash","14","8","No","0","368","36","40","20","16 MHz","14","32"," 1 -A/E/USART  , 1 -SSP(SPI/I2C)  "," 3 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 40/PDIP,40/UQFN,44/QFN,44/TQFP"
PIC16F716 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010216","$0.77","Flash","3.5","2","No","0","128","13","18","20",,"4",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 2V - 5.5V"," 18/PDIP,18/SOIC 300mil,20/SSOP 208mil,28/QFN,28/SPDIP,64/TQFP"
PIC16F72 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en010217","$1.91","Flash","3.5","2","No","0","128","22","28","20",,"5",," 0 -UART  , 0 -A/E/USART  , 0 -SPI  , 0 -I2C  , 0 -MSSP(SPI/I2C)  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit"," -40 to 125"," 2V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil"
PIC16F720 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en546017","$0.77","Flash","3.5","2","Yes","0","128","18","20","16","16 MHz","12",," 1 -A/E/USART  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F721 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en546016","$0.84","Flash","7","4","Yes","0","256","18","20","16","16 MHz","12",," 1 -A/E/USART  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 20/PDIP,20/QFN,20/SOIC 300mil,20/SSOP 208mil"
PIC16F722 ," In Production,Please consider device: PIC16F722A","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en533502","$0.95","Flash","3.5","2","No","0","128","25","28","20","16 MHz","11","8"," 1 -A/E/USART  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16F723 ," In Production,Please consider device: PIC16F723A","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en533505","$1.09","Flash","7","4","No","0","192","25","28","20","16 MHz","11","8"," 1 -A/E/USART  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16F723A ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en547287","$0.85","Flash","7","14","No","0","192","25","28","20","16 MHz","11","8"," 1 -A/E/USART  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16F724 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en533509","$1.39","Flash","7","4","No","0","192","36","40","20","16 MHz","14","16"," 1 -A/E/USART  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 40/PDIP,40/UQFN,44/QFN,44/TQFP"
PIC16F726 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en533506","$1.23","Flash","14","8","No","0","368","25","28","20","16 MHz","11","8"," 1 -A/E/USART  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 28/QFN,28/SOIC 300mil,28/SPDIP,28/SSOP 208mil,28/UQFN"
PIC16F727 ,"In Production","http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE&nodeId=1335&dDocName=en533510","$1.53","Flash","14","8","No","0","368","36","40","20","16 MHz","14","16"," 1 -A/E/USART  , 1 -SSP(SPI/I2C)  "," 2 - 8-bit , 1 - 16-bit  , 0 - 32-bit"," -40 to 125"," 1.8V - 5.5V"," 40/PDIP,40/UQFN,44/QFN,44/TQFP"
